Seq_ID,Cruise,Date,Sample_ID,Day,Month,Year,Depth,Treatment,Bottle,Timepoint,Time,Day2,Type1,Type2,Filter,Temp,Salinity,pH,DO,DIC ,TA,Bacteria,Cyanobacteria,BP,pCO2 ,Phosphate ,Silicate,Nitrite,Nitrate,Ammonia,DOC,TOC,Asp,Glu,His,Ser,Arg,Thr,Gly,BAla,Tyr,Ala,GABA,Met,Val,Ile,Leu,Lys,TDAA ave (nM),TDAA stdev,TDAA C (nM),DOC (uM),TDAA yield,Mol% BAla+GABA,Degradation index
DH36_D11,36,21/08/2018,D11,21,8,2018,1,S/D,D,T11,11.86,Day 12,Expt,Expt,PC,,,,,,,14.56,,,,0.17,3.98,3.84,0.01,1.64,84.09,87.26,75.61,76.98,10.19,87.51,34.28,54.06,207.43,25.27,15.64,104.83,6.89,5.76,38.29,25.71,39.46,31.15,839.06,122.38,3204.60,84.09,3.81,3.83,2.20
DH36_E11,36,21/08/2018,E11,21,8,2018,24,D/S,E,T11,11.86,Day 12,Expt,Expt,PC,,,,,,,14.44,,,,0.00,3.24,2.22,0.12,0.75,85.80,87.42,101.90,96.38,9.41,89.12,36.13,60.77,179.60,22.01,17.28,108.85,4.42,6.51,44.46,30.75,46.56,28.46,882.63,57.38,3487.71,85.80,4.07,2.99,2.74
DH36_F11,36,21/08/2018,F11,21,8,2018,24,D/S,F,T11,11.86,Day 12,Expt,Expt,PC,,,,,,,14.39,,,,0.02,3.19,2.22,0.14,0.73,85.22,85.22,76.94,69.62,7.05,75.66,26.27,47.55,164.55,23.44,11.85,89.86,15.34,5.18,32.58,19.87,34.57,21.62,721.94,55.59,2755.09,85.22,3.23,5.37,2.06
DH36_A13,36,30/08/2018,A13,30,8,2018,1,S/S,A,T13,20.84,Day 21,Expt,Expt,PC,,,,,,,8.24,,,,0.01,1.76,0.01,0.04,0.68,83.50,82.44,,,,,,,,,,,,,,,,,,,,,,,
DH36_B13,36,30/08/2018,B13,30,8,2018,1,S/S,B,T13,20.84,Day 21,Expt,Expt,PC,,,,,,,9.21,,,,0.00,1.68,0.03,0.02,0.79,77.77,80.06,,,,,,,,,,,,,,,,,,,,,,,
DH36_C13,36,30/08/2018,C13,30,8,2018,1,S/D,C,T13,20.84,Day 21,Expt,Expt,PC,,,,,,,14.22,,,,0.00,4.23,3.59,0.11,2.08,83.58,81.28,,,,,,,,,,,,,,,,,,,,,,,
DH36_D13,36,30/08/2018,D13,30,8,2018,1,S/D,D,T13,20.84,Day 21,Expt,Expt,PC,,,,,,,13.90,,,,0.17,4.57,6.31,0.00,0.00,78.30,82.63,,,,,,,,,,,,,,,,,,,,,,,
DH36_E13,36,30/08/2018,E13,30,8,2018,24,D/S,E,T13,20.84,Day 21,Expt,Expt,PC,,,,,,,12.76,,,,0.02,3.41,2.59,0.12,0.96,83.15,77.46,,,,,,,,,,,,,,,,,,,,,,,
DH36_F13,36,30/08/2018,F13,30,8,2018,24,D/S,F,T13,20.84,Day 21,Expt,Expt,PC,,,,,,,11.96,,,,0.02,3.28,2.36,0.17,1.06,81.03,80.54,,,,,,,,,,,,,,,,,,,,,,,
DH177r,36,09/08/2018,A0,9,8,2018,1,S/S,A,T0,0.00,Day 0,Expt,Expt,Supor,30,36.17,8.48,148.13,,,8.80,,,,0.02,1.56,0.00,0.03,0.03,96.31,99.62,210.87,206.36,27.05,230.14,83.45,111.49,454.16,27.49,41.80,210.37,23.27,8.80,83.35,48.80,92.90,75.59,1935.89,61.07,7530.33,96.31,7.82,2.62,2.29
