Cruise,Date,Month,ID,Depth,Amino_Acid,Conc
39,26-Sep-18,September,9,20,Valine,18.23
39,26-Sep-18,September,10,22,Valine,15.80
39,26-Sep-18,September,11,23,Valine,16.73
39,26-Sep-18,September,12,24,Valine,132.27
39,26-Sep-18,September,5,1,Isoleucine,18.12
39,26-Sep-18,September,6,5,Isoleucine,19.40
39,26-Sep-18,September,7,10,Isoleucine,25.81
39,26-Sep-18,September,8,15,Isoleucine,20.00
39,26-Sep-18,September,9,20,Isoleucine,18.72
39,26-Sep-18,September,10,22,Isoleucine,16.06
39,26-Sep-18,September,11,23,Isoleucine,15.85
39,26-Sep-18,September,12,24,Isoleucine,98.68
39,26-Sep-18,September,5,1,Leucine,14.86
39,26-Sep-18,September,6,5,Leucine,24.50
39,26-Sep-18,September,7,10,Leucine,31.38
39,26-Sep-18,September,8,15,Leucine,23.41
39,26-Sep-18,September,9,20,Leucine,23.35
39,26-Sep-18,September,10,22,Leucine,18.00
39,26-Sep-18,September,11,23,Leucine,17.08
39,26-Sep-18,September,12,24,Leucine,158.26
39,26-Sep-18,September,5,1,Lysine,20.79
39,26-Sep-18,September,6,5,Lysine,18.37
39,26-Sep-18,September,7,10,Lysine,19.94
39,26-Sep-18,September,8,15,Lysine,17.61
39,26-Sep-18,September,9,20,Lysine,19.09
39,26-Sep-18,September,10,22,Lysine,15.33
39,26-Sep-18,September,11,23,Lysine,14.42
39,26-Sep-18,September,12,24,Lysine,118.94
